week,crop stage,weather,advisory
27,No crop,No rainfall,Field preparation operation should be undertaken for better in situ moisture conservation
27,No crop,No rainfall,If field already prepared conserve soil moisture and remove weeds by blade harrow
27,No crop,Less than 25 mm,Field preparation operation should be undertaken for better in situ moisture conservation
27,No crop,Less than 25 mm,If field already prepared conserve soil moisture and remove weeds by blade harrow
27,No crop,More than 25 mm,If field preparation operations not already undertaken do it now for better in situ moisture conservation
27,No crop,More than 25 mm,Sowing can be done in prepared field if rainfall 40 mm using seed rate of 5 kg ha-1 after treating with Emisan @2g/kg + Thiram @4g/kg and Azetobector and PSB
27,No crop,More than 25 mm,Plant spacing should be 45 x 15 cm
27,No crop,More than 25 mm,Apply basal dose of fertilizers as per recommendation
27,No crop,More than 50 mm,Field preparation and sow crop where not done already
27,No crop,More than 50 mm,Follow seed treatment spacing and fertilizer application as above
27,No crop,Very heavy rainfall,Drain excess water for timely vattar so as to carry out field preparation operations
28,No crop,No rainfall,Filed preparation operation should be undertaken for better in situ moisture conservation
28,No crop,No rainfall,If field already prepared conserve soil moisture and remove weeds by blade harrow
28,No crop,Less than 25 mm,Filed preparation operation should be undertaken for better in situ moisture conservation
28,No crop,Less than 25 mm,If field already prepared conserve soil moisture and remove weeds by blade harrow
28,No crop,More than 25 mm,If field preparation operations not already undertaken do it now for better in situ moisture conservation
28,No crop,More than 25 mm,Sowing can be done in prepared field if rainfall 40 mm using seed rate of 5 kg ha-1 after treating with Emisan @2g/kg + Thiram @4g/kg and Azetobector and PSB
28,No crop,More than 25 mm,Plant spacing should be 45 x 15 cm
28,No crop,More than 25 mm,Apply basal dose of fertilizers as per recommendation
28,No crop,More than 50 mm,Field preparation and sow crop where not done already
28,No crop,More than 50 mm,Follow seed treatment spacing and fertilizer application as above
28,No crop,Very heavy rainfall,Drain excess water for timely vattar so as to carry out field preparation operations
28,Seedling emergence and establishment stage,No rainfall,Monitor field for seedling emergence
28,Seedling emergence and establishment stage,Less than 25 mm,Monitor field for seedling emergence and establishment
28,Seedling emergence and establishment stage,More than 25 mm,Monitor field for seedling emergence and establishment
28,Seedling emergence and establishment stage,More than 25 mm,Gap filling by dibbling
28,Seedling emergence and establishment stage,More than 50 mm,Monitor field for seedling emergence and establishment
28,Seedling emergence and establishment stage,More than 50 mm,In case of poor plant stand re-sowing of field
28,Seedling emergence and establishment stage,Very heavy rainfall,Drain out excess water
28,Seedling emergence and establishment stage,Very heavy rainfall,In case of poor plant stand re-sowing of field
29,Vegetative stage,No rainfall,Hoeing with wheel hand hoe/hand hoe for weed control and mulching
29,Vegetative stage,Less than 25 mm,Monitor field for plant population and maintain recommended plant stand by thinning
29,Vegetative stage,Less than 25 mm,In case of poor plant stand gap filling by transplanting while it is raining
29,Vegetative stage,Less than 25 mm,Hoeing with wheel hand hoe/hand hoe for weed control and mulching
29,Vegetative stage,More than 25 mm,Monitor field for plant population and maintain recommended plant stand by thinning
29,Vegetative stage,More than 25 mm,In case of poor plant stand gap filling by transplanting while it is raining
